Mã CK,ROE Năm (%),Tăng trưởng LNST (%),P/E,D/E,Tăng_trưởng_YoY_thật,ROE_TTM_thật
NRC,131.0,1461.7,14.1,0.69,False,True
KLB,25.0,120.7,3.7,,False,True
DHC,18.6,78.0,7.6,0.62,False,True
PVD,100.2,162.1,15.3,0.66,False,True
VAB,13.8,57.7,5.0,,False,True
NAB,19.7,16.8,5.2,,False,True
OCB,12.3,81.8,7.5,,False,True
HDB,25.2,19.8,6.4,,False,True
BSR,80.2,659.7,10.5,0.41,False,True
SAB,18.4,39.9,14.2,0.42,False,True
ABB,18.4,195.1,5.9,,False,True
QNS,19.0,54.4,9.0,0.35,False,True
TTA,13.9,202.5,5.7,0.75,False,True
LPB,26.0,47.2,10.9,,False,True
MSB,14.2,46.3,6.0,,False,True
