Mã CK,ROE Năm (%),Tăng trưởng LNST (%),P/E,D/E,Tăng_trưởng_YoY_thật,ROE_TTM_thật,Giá hiện tại,ADX,Xu hướng DI,RSI,Chiết khấu từ đỉnh (%),Điểm sức mạnh,Giá_rescale_x1000
SAB,18.4,39.9,14.2,0.42,False,True,47150.0,24.6,Tăng,42.8,17.4,33.65,True
NRC,131.0,1461.7,14.1,0.69,False,True,6300.0,33.2,Tăng,48.3,18.2,33.22,True
BSR,80.2,659.7,10.5,0.41,False,True,26350.0,22.8,Tăng,52.4,33.5,32.85,True
ABB,18.4,195.1,5.9,,False,True,17200.0,72.3,Tăng,85.3,9.0,31.41,True
VAB,13.8,57.7,5.0,,False,True,11300.0,32.6,Tăng,56.5,24.2,30.63,True
DHC,18.6,78.0,7.6,0.62,False,True,32950.0,14.4,Tăng,49.2,10.6,28.1,True
PVD,100.2,162.1,15.3,0.66,False,True,33300.0,20.5,Tăng,59.2,26.8,28.06,True
KLB,25.0,120.7,3.7,,False,True,12950.0,44.1,Tăng,65.9,14.9,27.04,True
NAB,19.7,16.8,5.2,,False,True,13250.0,40.7,Tăng,64.7,8.1,26.23,True
OCB,12.3,81.8,7.5,,False,True,11300.0,32.4,Tăng,62.1,15.6,25.72,True
LPB,26.0,47.2,10.9,,False,True,52400.0,22.2,Tăng,54.4,10.4,25.58,True
QNS,19.0,54.4,9.0,0.35,False,True,48900.0,22.4,Tăng,54.7,1.4,24.18,True
MSB,14.2,46.3,6.0,,False,True,16000.0,45.2,Tăng,61.9,1.2,22.53,True
HDB,25.2,19.8,6.4,,False,True,27300.0,29.0,Tăng,66.7,9.0,21.17,True
TTA,13.9,202.5,5.7,0.75,False,True,11800.0,24.9,Tăng,64.9,8.2,20.86,True
