Mã CK,ROE Năm (%),Tăng trưởng LNST (%),P/E,D/E,Tăng_trưởng_YoY_thật,ROE_TTM_thật
CLH,21.8,880.6,6.2,N/A,False,True
DBT,203.6,55.3,14.5,N/A,False,True
WSS,69.3,115.9,7.4,N/A,False,True
HPG,12.6,16.1,12.0,N/A,False,True
VGC,97.2,114.0,13.4,N/A,False,True
VRG,23.2,3550.9,12.9,N/A,False,True
DGW,17.1,51.8,15.6,N/A,False,True
L12,213.1,23.5,14.2,N/A,False,True
PIV,124.8,5267.9,15.5,N/A,False,True
PDB,35.2,110.4,5.0,N/A,False,True
HUG,28.2,48.0,6.8,N/A,False,True
S99,57.4,279.4,8.8,N/A,False,True
FPT,23.4,15.1,15.9,N/A,False,True
BED,103.9,167.6,14.9,N/A,False,True
CMI,16.8,31.7,-0.6,N/A,False,True
TTD,28.9,54.7,14.3,N/A,False,True
SNC,129.8,785.8,N/A,N/A,False,False
IPA,137.9,172.5,8.5,N/A,False,True
SAS,39.4,225.8,6.0,N/A,False,True
VSI,17.8,110.7,8.9,N/A,False,True
BTH,43.9,1345.9,3.5,N/A,False,True
GTA,257.2,20.3,15.8,N/A,False,True
VHE,170.1,118.6,7.2,N/A,False,True
HPX,148.9,364.8,11.9,N/A,False,True
STH,113.0,199275.4,5.7,N/A,False,True
SGD,61.4,82.0,-142.9,N/A,False,True
QNS,19.0,54.4,9.0,N/A,False,True
NT2,111.9,1042.3,7.0,N/A,False,True
KTS,222.4,252.3,3.6,N/A,False,True
VIE,14.4,55.7,-26.2,N/A,False,True
VFR,103.2,171.1,6.7,N/A,False,True
SCL,20.5,162.8,6.2,N/A,False,True
VHL,13.1,2717.6,8.9,N/A,False,True
BTP,81.1,105.3,13.2,N/A,False,True
HTE,48.9,3106.4,7.8,N/A,False,True
TAR,50.6,171.2,-33.6,N/A,False,True
BDW,14.2,53.7,9.1,N/A,False,True
L10,13.3,174.3,6.4,N/A,False,True
KLB,25.0,120.7,3.7,N/A,False,True
VRE,14.3,125.8,11.9,N/A,False,True
HNI,19.1,481.1,6.8,N/A,False,True
VCC,65.2,406.4,9.5,N/A,False,True
SD3,43.2,53.2,3.9,N/A,False,True
CLW,22.3,21.6,9.8,N/A,False,True
TTA,13.9,202.5,5.7,N/A,False,True
TNW,18.7,81.0,10.7,N/A,False,True
KSF,156.4,17207.4,3.4,N/A,False,True
DIG,24.2,1033.0,16.3,N/A,False,True
NSC,14.5,190.9,5.9,N/A,False,True
ADC,14.3,270.8,6.3,N/A,False,True
VPD,93.1,392.1,10.2,N/A,False,True
HBC,98.1,96.0,9.3,N/A,False,True
UIC,19.8,78.7,4.6,N/A,False,True
SBB,19.2,523.0,6.2,N/A,False,True
DXP,13.2,147.2,5.5,N/A,False,True
PMG,304.0,68.4,15.4,N/A,False,True
WSB,12.7,43.3,8.3,N/A,False,True
SWC,15.9,32.5,7.0,N/A,False,True
CIG,39.0,1929.0,3.1,N/A,False,True
APH,181.0,35.6,9.6,N/A,False,True
